top - 15:01:40 up  1:26,  1 user,  load average: 0,66, 0,92, 0,83
Tareas: 216 total,   1 ejecutar,  215 hibernar,    0 detener,    0 zombie
%Cpu(s):  7,8 us,  3,9 sy,  0,0 ni, 82,4 id,  5,9 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   1963,8 total,    157,5 libre,   1223,7 usado,    582,6 búfer/caché
MiB Intercambio:   1162,4 total,    481,1 libre,    681,3 usado.    532,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   1294 yamila    20   0 4194700 146888  64228 S  16,7   7,3   6:48.43 cinnamon
   6776 yamila    20   0   15812   3956   3320 R   8,3   0,2   0:00.03 top
   1336 yamila    20   0 1038680  27020  17548 D   4,2   1,3   0:06.08 nemo-de+
      1 root      20   0  174680   8068   5384 S   0,0   0,4   0:03.10 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0,0   0,0   0:00.63 ksoftir+
     14 root      20   0       0      0      0 I   0,0   0,0   0:02.78 rcu_sch+
     15 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migrati+
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0,0   0,0   0:00.31 migrati+
     22 root      20   0       0      0      0 S   0,0   0,0   0:00.23 ksoftir+
     24 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kdevtmp+
     26 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungta+
     29 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     31 root      20   0       0      0      0 S   0,0   0,0   0:01.59 kcompac+
     32 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     33 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepa+
     80 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
     81 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
     82 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
     83 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
     84 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
     85 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
